Data,Tipo de material,Custo,Data da entrega
01/01,,,
02/01,,,
03/01,,,
04/01,,,
05/01,,,
06/01,,,
07/01,Vela de ignição,R$ 28,00,10/01/2025
08/01,,,
09/01,,,
10/01,,,
11/01,Lona de freio,R$ 20,00,13/01/2025
12/01,,,
13/01,,,
14/01,,,
15/01,,,
16/01,,,
17/01,,,
18/01,,,
19/01,,,
20/01,,,
21/01,,,
22/01,,,
23/01,,,
24/01,,,
25/01,,,
26/01,,,
27/01,,,
28/01,,,
29/01,,,
30/01,Vela de ignição,R$ 28,00,01/02/2025
31/01,,,
01/02,,,
02/02,Pastilha,R$ 20,00,04/02/2025
03/02,,,
04/02,,,
05/02,,,
06/02,,,
07/02,Pastilha,R$ 20,00,09/02/2025
08/02,,,
09/02,,,
10/02,,,
11/02,,,
12/02,Vela de ignição,R$ 28,00,15/02/2025
13/02,,,
14/02,,,
15/02,,,
16/02,,,
17/02,,,
18/02,,,
19/02,,,
20/02,,,
21/02,,,
22/02,,,
23/02,,,
24/02,,,
25/02,,,
26/02,Óleo,R$ 28,00,02/03/2025
27/02,,,
28/02,Pastilha,R$ 20,00,01/03/2025
01/03,,,
02/03,,,
03/03,,,
04/03,,,
05/03,,,
06/03,,,
07/03,,,
08/03,,,
09/03,,,
10/03,Filtro de ar,R$ 15,00,12/03/2025
11/03,,,
12/03,,,
13/03,,,
14/03,Óleo,R$ 28,00,17/03/2025
15/03,,,
16/03,,,
17/03,,,
18/03,,,
19/03,Filtro de ar,R$ 15,00,23/03/2025
20/03,,,
21/03,,,
22/03,,,
23/03,,,
24/03,,,
25/03,Filtro de óleo,R$ 15,00,27/03/2025
26/03,,,
27/03,,,
28/03,,,
29/03,,,
30/03,,,
31/03,,,
01/04,,,
02/04,,,
03/04,,,
04/04,,,
05/04,,,
06/04,,,
07/04,,,
08/04,,,
09/04,Óleo,R$ 28,00,13/04/2025
10/04,,,
11/04,Pastilha,R$ 20,00,12/04/2025
12/04,,,
13/04,,,
14/04,,,
15/04,,,
16/04,,,
17/04,,,
18/04,,,
19/04,,,
20/04,Óleo,R$ 28,00,24/04/2025
21/04,,,
22/04,,,
23/04,,,
24/04,,,
25/04,,,
26/04,,,
27/04,,,
28/04,,,
29/04,,,
30/04,,,
01/05,,,
02/05,,,
03/05,,,
04/05,,,
05/05,,,
06/05,,,
07/05,,,
08/05,,,
09/05,Pastilha,R$ 20,00,12/05/2025
